Job Title,Job_URL,EX_level_demand,Time_Limitation,Search_Keyword,Posted_from,Description,Category1_URL_search,Category_1,highlight,Category2_URL_search,Category_2,Category3_URL_search,Category_3,Category4_URL_search,Category_4,Category5_URL_search,Category_5,Category6_URL_search,Category_6,Category7_URL_search,Category_7,Category8_URL_search,Category_8,Category9_URL_search,Category_9,Applicants_Num,Payment_Situation,Enterprise_Client,Freelancers_Num,Spent($),Client_Country,Connects_Num,New_Connects_Num,Rating,Feedback_Num,Payment_type,Job_Cost,Hourly_Rate,Start_rate,End_rate
Data Scraping for buyers on investorlift.com,https://www.upwork.com/jobs/span-Data-span-Scraping-for-buyers-investorlift-com_~01ce7f75d7469162a8/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,Need buyers data from investor lift.com can start as soon as possible,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884905990946816,Data Analytics,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730015014912,Data Cleansing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884906003529729,Web Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626754400698368,Linear Regression,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580475393986560,Algebra,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730153426944,Data Extraction,10 to 15,Payment verified,,1,100,China,2,4,,0,Hourly,,,0,
Excel Guru needed for map chart,https://www.upwork.com/jobs/Excel-Guru-needed-for-map-chart_~01938b53a1c0b44663/,Intermediate,,Data_science,2 hours ago,"I need a map of North America that displays office location by city and the number of proposal requests from each office. 

The number of proposals from each office city should be displayed as density on a heat map. I also need to see the office locations with no activity.

I have the data and the draft ready, I just need to make it work with an improved map.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626747748532224,Infographic,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758628556800,Microsoft Excel PowerPivot,,,,,,,,,,,,,10 to 15,Payment unverified,,1,0,United States,1,2,,0,Fixed-price,$35 ,,0,
"Assist with choosing statistical test, design, and data analysis for dissertation",https://www.upwork.com/jobs/Assist-with-choosing-statistical-test-design-and-span-data-span-analysis-for-dissertation_~0137a26ac235a9fa79/,Expert,,Data_science,2 hours ago,"I am looking for an experienced statistician who can help me with my doctoral dissertation. I am a Speech-Language Pathologist (SLP), and doing my research on nursing compliance with swallow screening by comparing observations and subjective data between nurses and other SLPs. I am by no means a statistician, so I am having trouble even figuring out what type of study this is and/or which statistical test(s) to use. I need to compare/contrast a few different sets of data including:

*Pre and post test Severity Scale ratings
*Pre and post test diet levels
*Screening observation/Clinical Evaluation comparisons

My dissertation chair has suggested I use SPSS for analysis as it will yield results, charts, graphs, etc. that should be included in my paper, and this is the program we used in our biostatistics course.  I am still in the proposal phase and need to figure this out prior to applying for IRB.  Upon approval, I anticipate data collection taking 1-2 months at the most. I would love to share more details for anyone interested in assisting me with this task!!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626746544766976,IBM SPSS,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782833885184,Statistics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626772763361280,Quantitative Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626708217217024,Academic Writing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774705324032,Research Papers,,,,,Less than 5,Payment verified,,1,0,United States,6,12,,0,Fixed-price,$700 ,,0,
Unlock Sybase 9 Database File,https://www.upwork.com/jobs/Unlock-Sybase-Database-File_~01f6371405e35d8785/,Expert,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,"I have a folder that has an executable file and what seem to be database files. The extension is .db and I think it is SyBase old version 9 (maybe around 2010 or prior). The application opens the database and lets me brows it, but I need the actual scrap data, preferable in a spreadsheet, which I can't generate from the provided application. Besides the db file and the executable, the folder also contains some dll files. This project is about getting the data from the main database file. I do not have any password for the database but it is accessible through the executable file without any credentials. Thank you",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626784100564992,Sybase Programming,,,,,,,,,,,,,,,5 to 10,Payment verified,,1,3000,United States,2,4,5,5,Hourly,,$5.00-$150.00,$5.00 ,$150.00 
Email Scraping from Instagram,https://www.upwork.com/jobs/Email-Scraping-from-Instagram_~013aad5b8bbca1779a/,Intermediate,,Data_science,2 hours ago,"I need to find the contact email of 150 influencers I have in a database. I need part of the job done today and the other part done in 3 days since I don't have all the information just yet

Please only apply if you have time to complete part of the job today",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672,Data Mining,Data Mining,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626753582809088,Lead Generation,,,,,,,,,,,,,5 to 10,Payment verified,,1,20,Ecuador,2,4,5,2,Fixed-price,$5 ,,0,
Google Analytics / Tag Manager / Data Analyst,https://www.upwork.com/jobs/Google-Analytics-Tag-Manager-span-Data-span-Analyst_~0136599fc59be0dad8/,Expert,,Data_science,2 hours ago,"Hello Stijn!

The goals of this beginning project will be listed as below. 

1. Take a look through our website.
2. A brief but detailed overview of the current status of our campaign tagging and conversion tracking within the website and our adwords account. 
3. An analysis of the current data within hotjar
4. Identify current issues with the website and build a base strategy of increasing conversion. 
5. Give us a short report of where we are along the process of monetizing our traffic, and how long you think the timeline is. 
6. Ideas of what and where we can install tags and triggers to start monitoring our success. 

As stated before, the project budget is an estimate. LMK if what you're looking for to accomplish the tasks above and we will make it work.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730199564288,Data Interpretation,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626708179468288,A/B Testing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342878198542336,Funnel Testing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342880555741184,Hypothesis Testing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741842952192,Google Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742535012352,Google Tag Manager,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741863923712,Google Analytics API,5 to 10,Payment verified,,1,10000,United States,4,8,4.217449217,17,Fixed-price,$200 ,,0,
Geospatial analysis of restaurants/cloud kitchens in Bangalore,https://www.upwork.com/jobs/Geospatial-analysis-restaurants-cloud-kitchens-Bangalore_~01db51d600af12c936/,Intermediate,,Data_science,2 hours ago,"Final Goal: 

1. Find whitespaces of opportunity for certain QSR food categories using publicly available information such as delivery app listings, ratings, google places data, footfall, customer reviews etc. 

2. Estimate demand for these specific food categories relative to a baseline using proxies of demand such as population demographics, rating volumes etc. 

3. Visualise this data to depict gaps (e.g. low coverage of category in the market 

Scope of Work:

1. Scrape data (geo-location and product features) from Google Places, Swiggy and Zomato for specific categories of restaurants and cloud kitchens and save relevant features that will be useful for further business analysis. 

2. Clean the data set to ensure it is sacrosanct and set it up for geospatial analysis

3. Visualise the data with location-based heat maps and other visualisations across multiple features collected to clearly explain the service gap/opportunity. 

Expected Timeline: 30-40 days

Helpful references: https://www.irjmets.com/uploadedfiles/paper/volume3/issue_7_july_2021/15142/1628083588.pdf

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9140678/",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741159280640,Geospatial Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,,,,,,,,,Less than 5,Payment unverified,,1,0,India,4,8,,0,Fixed-price,$200 ,,0,
Migração GA4,https://www.upwork.com/jobs/Migra-GA4_~0162c33bbfa97d5369/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,Migração de Google Analytics Universal para GA4. Consultoria e suporte para migração.,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742065250304,Google Data Studio,Google Data Studio,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884905990946816,Data Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758217515008,Microsoft Access,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1534904342187163648,Metabase,,,,,Less than 5,Payment verified,,1,10000,Brazil,2,4,5,1,Hourly,,,0,
Mixpanel Specialist,https://www.upwork.com/jobs/Mixpanel-Specialist_~0127235b9a800b784d/,Expert,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,"We are looking for someone to help us implement Mixpanel into our web application from scratch. 

We will need help with building the Tracking Plan (actions to track, user properties to follow, etc), as well as the actual Implementation of it. 

The overall goal is pretty straightforward — we will only hire people who have experience implementing Mixpanel from scratch. 

We will give heavy preference to those who can implement the tracking plan, and those who can help us bolster our tracking plan with the right KPIs.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626760063008768,Mixpanel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626794854760448,Web Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342885563740160,Marketing Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,,,,,,,,,Less than 5,Payment verified,,1,100000,United States,6,12,5,7,Hourly,,$30.00-$40.00,$30.00 ,$40.00 
Google Data Studio Dashboard Update,https://www.upwork.com/jobs/Google-span-Data-span-Studio-Dashboard-Update_~01b27cbee773fc8594/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,2 hours ago,"Project Overview: Phase One
Agency currently has 3 dashboards that need fixed, edited and updated with new functionality. 

•	Expansion of current and incorporation of new Google Analytics data points
•	Expansion of current and incorporation of new Paid and Organic Social Media data points and creative assets
o	Facebook and Instagram
o	Tik Tok
o	Pinterest
•	Expansion of current and incorporation of new Paid and Organic Search data points
•	Changes to current benchmarks/KPI indicators
•	Addition of comparison date data features (Example: month to month or year over year)


Project Overview: Phase Two
Upon completion of 3 existing dashboard updates, agency would like to replicate for 2 additional clients. Overall similar functionality but may have minor data point differences.  

Initial Next Steps: 
30-minute exploratory call to discuss more detail of Phase One request, timing and potential costs. Determine best fit for partnership.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742065250304,Google Data Studio,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482566246400,API Integration,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465936942960640,Dashboard,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741842952192,Google Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742535012352,Google Tag Manager,,,,,,,5 to 10,Payment verified,,1,3000,United States,2,4,4.35,1,Hourly,,$45.00-$70.00,$45.00 ,$70.00 
Web Scrapping,https://www.upwork.com/jobs/Web-Scrapping_~015e9b0b442d77f31d/,Intermediate,,Data_science,2 hours ago,"I want patent data from google patent database. 
Like assignee name
Country name
citations 
claims",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730405085184,Data Scraping,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730287644672,Data Mining,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626728333099008,Web Crawling,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626778132070400,Scrapy,,,,,,,,,Less than 5,Payment unverified,,1,0,Hong Kong,2,4,,0,Fixed-price,$50 ,,0,
Azure Data Architect with Data bricks setup,https://www.upwork.com/jobs/Azure-span-Data-span-Architect-with-span-Data-span-bricks-setup_~01e71be5e70fdd979f/,Expert,"3 to 6 months, 30+ hrs/week",Data_science,2 hours ago,"we want to set up the following:

On-Prem Setup
Setup Folder in my Laptop for the Source Data
SFTP Server  (My Laptop) 

 Azure Azure:
 Azure Data Lake Storage (ADLS) for Source
 Azure Data Lake Storage (ADLS) for Output
Azure Key Vault for ADLS - for both

Suggestion on resource organization
Data Bricks
Setup Datarbricks that Mount  Azure Data Lake Storage (ADLS)
Setup Databricks Notebook and Setup Databricks Cluster to execute Orchestration
Connect Databricks with Azure SQL Server

API Service Manager Configuration to call API from Databricks notebook
DevOps code integration with pipeline",,,Data,,,,,,,,,,,,,,,,,5 to 10,Payment verified,,1,1000,United States,6,12,,0,Hourly,,$20.00-$100.00,$20.00 ,$100.00 
AI & Data developer,https://www.upwork.com/jobs/amp-span-Data-span-developer_~01abd8bf2146130adb/,Intermediate,"1 to 3 months, Less than 30 hrs/week",Data_science,2 hours ago,"Our company is building a platform where brands can monitor their trademarks globally to ensure that their brands are protected. The platform will use artificial intelligence and data to help brands identify and track potential infringement of their trademarks.

Scope of Work:
The developer will be responsible for the following tasks:

Collect and clean data on trademarks from various sources, including government databases and online marketplaces.
Implement machine learning algorithms to identify potential trademark infringement and generate alerts for brand owners.
Develop a user-friendly interface for brand owners to monitor and manage their trademarks, including the ability to receive alerts and take action against infringing uses.
Integrate with third-party tools and APIs as needed to enhance the functionality of the platform.
Ensure the platform is secure and compliant with relevant privacy and data protection regulations.
Technical Requirements:

Strong programming skills in Python and experience with data science libraries such as Pandas, Numpy, and Scikit-learn.
Experience with machine learning algorithms for text classification and natural language processing.
Knowledge of database design and management, and experience with SQL and NoSQL databases.
Experience with web development frameworks such as Flask or Django.
Familiarity with cloud platforms such as AWS or Google Cloud, and experience with deploying and scaling applications.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936,Artificial Intelligence,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,,,,,,,,,,,Less than 5,Payment verified,,1,200,India,6,12,,0,Hourly,,$18.00-$40.00,$18.00 ,$40.00 
Data Analytics Agency Seeking Freelancers to Expand Business,https://www.upwork.com/jobs/span-Data-span-Analytics-Agency-Seeking-Freelancers-Expand-Business_~01f86cd688c9f353ba/,Entry level,"More than 6 months, 30+ hrs/week",Data_science,2 hours ago,"Greetings, I am a Business Intelligence expert with over 13 years of experience in the industry. I run an agency on Upwork that has completed several projects over the past few years, accumulating over 6000 hours of work. Currently, we are expanding and increasing our investment in talent.

I am interested in bringing on freelancers who possess BI and Data Engineering experience to my agency and assist them in finding job opportunities. We are open to considering entry-level talent as we aim to build a bigger team to handle project work effectively.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884905990946816,Data Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626719432785920,Big Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755084369920,Looker,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626784704544768,Tableau,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626721978728448,Business Intelligence,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1453032798689071104,dbt,15 to 20,Payment verified,,1,600,India,6,12,4.662962963,2,Hourly,,$10.00-$35.00,$10.00 ,$35.00 
Sales Territories by 3 digit zipcode Mapped out - Power BI?,https://www.upwork.com/jobs/Sales-Territories-digit-zipcode-Mapped-out-Power_~01a22f4958d7065da4/,Intermediate,,Data_science,3 hours ago,"I need some help visualizing some data. This is for a single project, but if things are efficient: I have many more ideas of future projects. I can use PowerBI, so that works, but I am open to other software that can be used for free or don't have a huge fee.

I have a file with some columns of data. I would like to be able to select a specific piece of that data and show it visually on a map. This is specifically 3 digit zip codes for employee territories. I have several teams, so in each team there is no overlap. Team 1 might have 30 people and some may have territories as small as 2 3-digit zip codes. Others have multiple states. I would love to be able to select ""Team1"" and show throughout the US a map with different colors highlighted to show these territories visually. Ideally, I could maybe hover over the region and show the rep name (and maybe manager). I also have teams 2, 3, 4. Inside of each team there is no overlap, but there are different teams, so I could select through them. Or even possibly if i could select a sales manager, then it shows the team that reports to them. I have all of this data in an excel sheet now.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,,,,,,,,,,,,,10 to 15,Payment unverified,,1,0,United States,2,4,,0,Fixed-price,$100 ,,0,
Fix my AI Chatbot Website (Gpt3),https://www.upwork.com/jobs/Fix-Chatbot-Website-Gpt3_~011bbee6d9c0b04a18/,Intermediate,,Data_science,3 hours ago,"I currently have a website that a developer did not finish. There is front end a backend to be fixed. 

There is payment processing to be fixed

We need a reporting dashboard for the users 

I am looking for a programer that can develop a AI chatbot website . They need to know how to implement gpt 3 on to the my website 

Job Description:

We are seeking a developer to building an AI chat bot website similar. The successful candidate will have experience in using natural language processing (NLP) and machine learning techniques to build and maintain sophisticated chatbot systems.

Responsibilities:

Design and implement AI chatbot functionality using NLP and machine learning techniques
Collaborate with cross-functional teams to integrate chatbot functionality into our website
Maintain and improve existing chatbot systems
Stay up-to-date with the latest developments in the field of AI chatbot development
Requirements:

Strong programming skills, particularly in Python and JavaScript
Experience with natural language processing and machine learning
Familiarity with chatbot frameworks such as ChatterBot, Rasa, or Dialogflow
Ability to work independently and as part of a team
Strong problem-solving and communication skills",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,Data Science,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482566246400,API Integration,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626773660942336,React,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626732309299200,Django,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626723769696256,Chatbot Development,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626762999021568,Node.js,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626745110315008,HTML,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936,Artificial Intelligence,5 to 10,Payment verified,,1,4000,United States,6,12,,0,Fixed-price,"$1,000 ",,0,
AWS Redshift Consultant for Data Synchronization / ETL,https://www.upwork.com/jobs/AWS-Redshift-Consultant-for-span-Data-span-Synchronization-ETL_~01fe72752c6ecfa878/,Expert,"Less than 1 month, Hours to be determined",Data_science,3 hours ago,"I have a good understanding of AWS services, but I need some guidance with AWS Redshift. I am seeking an experienced AWS Redshift consultant to provide a one-time consultation on synchronizing data from my MySQL RDS database to AWS Redshift.

Responsibilities:

- Provide an overview of AWS Redshift and MySQL RDS
- Guide me through the process of setting up and maintaining an AWS Redshift cluster
- Teach me the best practices for designing and implementing data synchronization processes from MySQL RDS to AWS Redshift
- Answer any questions I have and provide ongoing support during the consultation

Requirements:

- Extensive experience with AWS Redshift and MySQL RDS
- Strong understanding of data warehousing and ETL processes
- Excellent communication and problem-solving skills
- Ability to provide clear, concise guidance

Please include ""AWS Redshift Consultant"" in the subject line of your application to be considered.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712214388736,Amazon Redshift,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712201805824,Amazon RDS,,,,,,,,,,,,,,,Less than 5,Payment verified,,1,10000,United States,1,2,5,3,Hourly,,$30.00-$80.00,$30.00 ,$80.00 
Seeking Technical Consultant / Softare Engineer for various fintech clients,https://www.upwork.com/jobs/Seeking-Technical-Consultant-Softare-Engineer-for-various-fintech-clients_~011c09aadef4204511/,Intermediate,"Less than 1 month, Less than 30 hrs/week",Data_science,3 hours ago,I am a consultant working with fintech and payment companies and require the assistance of a software engineer to join my team and advise me on various topics.,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730904207360,Deep Learning,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580682663907328,RESTful API,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482322976768,API,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1270387318494314496,Software Developer,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626781382656000,Software Architecture & Design,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626714059882496,API Documentation,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482566246400,API Integration,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465937639215104,Software Consultation,,,5 to 10,Payment verified,,1,3000,United States,2,4,5,1,Hourly,,,0,
Klipfolio Expert,https://www.upwork.com/jobs/Klipfolio-Expert_~01c55a62eba86cef12/,Intermediate,"1 to 3 months, Less than 30 hrs/week",Data_science,3 hours ago,"Seeking expert at Integrating Klipfolio to various tools we use daily so we can do data visualization of the KPIs. We will need to connect the following tools to Klipfolio. 

Podio
Close.com
Quickbooks
Stripe
Klaviyo
Shopify",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482322976768,API,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626795211276288,Web Development,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626769701519360,Podio,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580482566246400,API Integration,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626752764919808,Klipfolio,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626797853687808,Zapier,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,Less than 5,Payment verified,,1,700000,United States,6,12,4.91534844,99,Hourly,,$10.00-$80.00,$10.00 ,$80.00 
NLP model training and Predictive Analytics,https://www.upwork.com/jobs/NLP-model-training-and-Predictive-Analytics_~018b4e36df789ceaed/,Intermediate,"1 to 3 months, Less than 30 hrs/week",Data_science,3 hours ago,"We are consulting advertising clients on optimizing video performance. 

We are for help with two things.

1.) NLP model training based on previous copywriting and performance data from video ads. Using Openai API. 

We will pull all of the performance data from the ad platforms (Meta, TikTok, Snap, YT, etc) and add additional variables to the data set as well. We are looking for help identifying which variables have significance and which ones to use as the prompt then validating completions. 

- Predictive analytics using an openai model and historical performance data from video ads.

We have a couple of ideas here but are new to machine learning and would like to explore possibilities with you. But in general, we will look at the data mentioned above. Look for statistical significance in observed variables in the video on it's performance. Then take the variables with significance and create predictive analytics to suggest optimizations on those variables to make their videos to improve the performance.

The initial job will be to consult on building the NLP models and helping us create a system so we can do this individually for each client. And running regressions to determine which variables have significance on ad performance (ex: return on ad spend) so we can start building a predictive analytics model.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626716094119936,Artificial Intelligence,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626732309299200,Django,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626761858170880,Natural Language Processing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626783748243456,Supervised Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342899790819328,Unsupervised Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580710090461184,Technical Project Management,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580474014060544,Agile Project Management,15 to 20,Payment verified,,1,20000,United States,6,12,5,3,Hourly,,,0,
Conversion Rate Optimisation Analyst,https://www.upwork.com/jobs/Conversion-Rate-Optimisation-Analyst_~0101a5fa76b11726e1/,Expert,,Data_science,3 hours ago,"We are looking for someone to come in and work with us in a freelance capacity to increase our conversion rate

Goal: to increase overall conversion of the website

How can it be done? You tell us your strengths:
Optimise Google PPC 
Increase # of leads generated
Increase # of bookings placed

It can include but is not limited to
- Landing page tests
- A/B tests
- Cart checkout optimization
- CTAs in blog posts
- Analyse user journey to identify and test dropoff areas
- etc

Happy to figure out phase 1 to work together... and if the work is good and shows results, we can continue a more ongoing partnership 

Our website is: www.yhangry.com (have a look and give me recommendations of what you would do to start)",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342878198542336,Funnel Testing,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626727209025536,Conversion Rate Optimization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741817786368,Google Ads,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626741842952192,Google Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626765163282432,Optimizely,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626708179468288,A/B Testing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580511716659200,Campaign Optimization,,,5 to 10,Payment verified,,1,0,United Kingdom,6,12,,0,Fixed-price,"$1,000 ",,0,
Python/ELK Developer,https://www.upwork.com/jobs/Python-ELK-Developer_~014a8c31ffbdca0975/,Intermediate,"More than 6 months, 30+ hrs/week",Data_science,3 hours ago,I am seeking a developer on a long-term contract to take a beta project built on Python & Elastic and mature the code for production.,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628000108546,PostgreSQL,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782431232000,SQL Programming,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626791662895104,Ubuntu,,,,,,,,,,,20 to 50,Payment verified,,1,4000,United States,6,12,5,3,Hourly,,$8.00-$25.00,$8.00 ,$25.00 
